site,sdate,gear,utmzone,utm_e,utm_n,temp,fishcode,length,tfs,catch,weight
BUMGARD,8/20/1992,D,15,822375,4106344,25,FHCF,289,T,1,228
,10/22/2010,D,15,818080,4117949,16.7,FHCF,292,T,1,275
Marquette,10/15/2021,D,15,810679,4129099,22.4,FHCF,293,T,1,240
BUMGARD,8/20/1992,D,15,822375,4106344,25,FHCF,293,T,1,245
MUDDY,9/26/2019,D,15,808293,4164767,24.1,FHCF,294,T,1,251
,9/26/2008,D,15,822380,4106648,22.4,FHCF,294,T,1,285
SANTA FE,9/17/2015,D,16,287090,4112143,24,FHCF,294,T,1,380
M045.3E,9/26/2002,D,16,282084,4124044,21.7,FHCF,294,T,1,400
Santa Fe,9/17/2020,D,15,819880,4115349,23.7,FHCF,295,T,1,224
,9/4/1991,N,15,816121,4119896,26,FHCF,295,T,1,260
M041.8E,9/26/2002,D,16,282147,4118955,22.4,FHCF,295,T,1,350
,10/18/2000,D,15,807779,4169250,15.9,FHCF,296,,1,230
,10/1/1992,N,15,811224,4136689,19,FHCF,296,T,1,235
,9/25/1991,D,15,807513,4164845,17.2,FHCF,298,T,1,260
Cottonwood,9/26/2019,D,15,807779,4168500,24.2,FHCF,298,T,1,281
D2,10/13/2006,D,15,814427,4128114,17.5,FHCF,300,T,1,205
DITCH,10/5/2007,D,15,808008,4127667,24.6,FHCF,300,T,1,250
BEDROCK,6/26/1991,H,15,807321,4167599,27,FHCF,300,T,1,250
,9/20/2007,D,15,807329,4167200,23.1,FHCF,300,T,1,270
Marquette,9/21/2018,D,15,810579,4129349,25.4,FHCF,300,T,1,321
,10/7/2019,HS,15,816829,4144299,21.2,FHCF,301,T,1,265
SANTA FE,9/17/2015,D,16,286257,4113002,24,FHCF,301,T,1,318
,7/17/1991,D,15,813091,4137963,28.2,FHCF,305,T,1,210
,10/18/2013,D,16,278894,4155535,18.7,FHCF,305,T,1,230
SANTA FE,9/17/2015,D,16,286257,4113002,24,FHCF,305,T,1,284
,7/25/1991,D,15,808199,4168914,28.5,FHCF,306,T,1,275
,9/30/2011,D,15,815379,4120849,19.5,FHCF,306,T,1,440
,9/26/1991,D,15,816643,4143917,17.2,FHCF,307,T,1,290
MARQ,9/19/2002,D,16,278450,4126852,25.3,FHCF,308,T,1,350
MUDDY,10/19/2015,D,16,278375,4162012,15.3,FHCF,309,T,1,270
,10/9/2020,D,15,816180,4119799,20.2,FHCF,309,T,1,336
,7/1/1991,H,15,810489,4128656,27.8,FHCF,310,T,1,240
308,10/16/2007,HL,16,283424,4116372,19.9,FHCF,310,T,1,380
,9/25/1991,D,15,813867,4151315,16.6,FHCF,314,T,1,290
,10/17/2008,D,15,816979,4142249,19.4,FHCF,314,T,1,320
,8/5/1991,H,15,809534,4155918,27.8,FHCF,315,T,1,285
,9/11/1991,N,15,811224,4136689,25,FHCF,315,T,1,295
,10/1/1992,N,15,811224,4136689,19,FHCF,315,T,1,300
Cottonwood,9/16/2021,D,15,807529,4168500,26.6,FHCF,315,T,1,315
BUMGARD,9/3/1991,F,15,822375,4106344,26.4,FHCF,315,T,1,320
,10/23/2008,D,15,814779,4120499,15.4,FHCF,315,T,1,460
Santa Fe,9/17/2020,D,15,820030,4115149,23.7,FHCF,316,T,1,322
M059.8W,10/2/2000,D,15,816364,4141928,21.7,FHCF,318,,1,290
,10/13/2011,D,15,809729,4135549,19,FHCF,319,T,1,294
,8/21/1991,H,15,810489,4128656,25.8,FHCF,319,T,1,310
356,10/21/2009,HL,16,285425,4143253,,FHCF,319,T,1,350
,10/23/2008,D,16,280764,4121470,15.4,FHCF,319,T,1,380
Cottonwood,9/26/2019,D,15,807429,4167300,24.3,FHCF,320,T,1,231
,7/7/1992,F,15,816643,4143917,27.7,FHCF,320,T,1,310
,10/30/2006,D,15,815829,4142399,12.6,FHCF,320,T,1,390
,10/26/2007,D,15,816229,4147249,14.5,FHCF,320,T,1,405
,9/3/1991,H,15,816121,4119896,27.3,FHCF,321,T,1,320
SCHIN,8/15/1991,M,15,816162,4145151,26.5,FHCF,321,T,1,340
NEELYS,9/25/2007,F,15,809534,4155918,24.7,FHCF,321,T,1,425
,10/13/2011,D,15,810529,4129499,19.1,FHCF,322,T,1,230
,8/13/1992,D,15,807917,4167674,26.3,FHCF,322,T,1,308
BEDROCK,9/21/1998,HL,15,807554,4168735,25.2,FHCF,322,,1,350
Cottonwood,9/23/2019,HS,15,807629,4168900,25.1,FHCF,324,T,1,296
,9/18/2013,D,15,814029,4151098,25,FHCF,324,T,1,310
,7/18/1991,F,15,821616,4108957,28.3,FHCF,325,T,1,500
,6/29/1992,H,15,809534,4155918,26.8,FHCF,326,T,1,340
,9/17/2019,D,15,813929,4127449,26.1,FHCF,326,T,1,354
,10/19/2015,D,16,276889,4160258,17.2,FHCF,328,T,1,336
BUMGARD,9/4/1991,N,15,822375,4106344,26,FHCF,328,T,1,350
Cottonwood,9/26/2019,D,15,807779,4168500,24.2,FHCF,328,T,1,362
Marquette,10/1/2019,HS,15,809529,4131249,23.9,FHCF,329,T,1,323
,9/17/2019,D,15,816779,4145749,26.4,FHCF,329,T,1,330
,8/18/1992,F,15,807473,4163214,25.2,FHCF,329,T,1,345
DITCH,10/31/2003,D,15,808008,4127667,16.5,FHCF,329,T,1,345
NEELYS,9/21/1998,F,15,809534,4155918,25.3,FHCF,331,,1,350
,9/11/2023,D,15,809329,4156950,26.4,FHCF,331,T,1,414
299,9/25/2009,D,16,282044,4117431,23.6,FHCF,334,T,1,320
435,10/5/2020,D,16,280293,4151653,18,FHCF,335,T,1,376
,8/5/1991,X,15,584040,4909047,25,FHCF,335,T,1,453
NEELYS,10/7/2019,F,15,809534,4155918,21.1,FHCF,336,T,1,346
,10/22/1992,H,15,816643,4143917,13.4,FHCF,338,T,1,340
Bumgard,9/27/2021,D,15,822630,4106049,20.6,FHCF,338,T,1,404
,10/22/2010,D,15,819830,4115399,16.7,FHCF,339,T,1,390
,10/21/2010,D,15,809179,4133999,17,FHCF,341,T,1,345
,9/17/2019,D,15,816779,4145749,26.4,FHCF,342,T,1,390
Cottonwood,9/26/2019,D,15,807779,4168500,24.2,FHCF,343,T,1,406
,9/17/2019,D,15,816779,4145749,26.4,FHCF,344,T,1,355
,10/9/2020,D,15,822430,4109599,18.5,FHCF,344,T,1,389
452,10/21/2004,D,16,279800,4151381,15.3,FHCF,345,T,1,405
SCHIN,6/17/1992,N,15,815993,4144592,28.3,FHCF,346,T,1,410
NEELYS,9/21/1998,HL,15,809534,4155918,25.3,FHCF,347,,1,400
,9/3/1991,H,15,816121,4119896,27.3,FHCF,347,T,1,450
